name,industry,sub_industry,country,founded_date,closed_date,lifespan_days,total_funding_usd,funding_rounds,death_cause,death_cause_details,stage_at_death,number_of_employees,tags
WeWork,Real Estate,Coworking,USA,2010-01-01,2023-11-01,5000,12000000000,8,Cash Flow Problems,"Overexpansion and failed IPO attempt",Series G,12000,"coworking,real-estate,softbank"
Theranos,Healthcare,Health Tech,USA,2003-01-01,2018-09-01,5700,700000000,7,Fraud,"False claims about blood testing technology",Series C,800,"healthtech,diagnostics,fraud"
Juicero,Consumer Electronics,Kitchen Tech,USA,2013-01-01,2017-09-01,1700,120000000,4,Market Fit Issues,"Overpriced juice press with minimal value",Series B,300,"kitchen,hardware,premium"
Quibi,Media & Entertainment,Streaming,USA,2018-01-01,2020-12-01,1060,1750000000,5,Market Fit Issues,"Failed to differentiate from competitors",Series C,200,"streaming,media,mobile"
FTX,FinTech,Cryptocurrency,USA,2019-01-01,2022-11-01,1395,2000000000,6,Fraud,"Crypto exchange collapse due to fraud",Series C,350,"crypto,exchange,blockchain"
Soraa,Semiconductors,LED Lighting,USA,2008-01-01,2020-06-01,4550,233000000,7,Cash Flow Problems,"Failed to compete with Chinese manufacturers",Series E,600,"semiconductors,LED,hardware"
Jawbone,Consumer Electronics,Wearables,USA,1999-01-01,2017-07-01,6750,933000000,7,Cash Flow Problems,"Could not compete with Fitbit and Apple",Series E,500,"wearables,fitness,hardware"
Beepi,Automotive,Online Marketplace,USA,2013-01-01,2016-02-01,1095,150000000,6,Cash Flow Problems,"High operational costs and low margins",Series C,180,"automotive,marketplace,ecommerce"
Zume Pizza,Food Tech,Automated Food,USA,2016-01-01,2020-06-01,1610,375000000,4,Market Fit Issues,"Robotic pizza making not viable",Series C,200,"foodtech,robotics,automation"
Opendoor,Real Estate,PropTech,USA,2014-01-01,2022-03-01,2920,1500000000,7,Cash Flow Problems,"iBuying model proved unsustainable",Series E,1500,"realestate,proptech,mortgage"
Dollar Shave Club,Consumer Products,E-commerce,USA,2011-01-01,2020-01-01,3285,121000000,4,Competition,"Acquired by Unilever but later shut down",Series B,300,"ecommerce,consumer,grooming"
Carbon3D,Manufacturing,3D Printing,USA,2013-01-01,2019-05-01,2300,450000000,6,Cash Flow Problems,"Failed to scale manufacturing",Series D,400,"3dprinting,manufacturing,hardware"
LimeBike,Transportation,Micromobility,USA,2017-01-01,2022-01-01,1825,523000000,6,Cash Flow Problems,"High operational costs and regulation",Series D,500,"micromobility,scooters,transport"
Bird,Transportation,Micromobility,USA,2017-01-01,2023-01-01,2190,782000000,7,Cash Flow Problems,"Path to profitability never achieved",Series E,1000,"micromobility,scooters,transport"
Uber Elevate,Transportation,Flying Cars,USA,2016-01-01,2020-06-01,1620,100000000,3,Market Fit Issues,"Urban air mobility not viable yet",Series B,150,"aerospace,transport,future"
Magic Leap,AR/VR,Augmented Reality,USA,2010-01-01,2023-01-01,4745,3000000000,7,Cash Flow Problems,"Failed to deliver on promises",Series F,1500,"AR,vr,headsets"
1-800-Flowers,E-commerce,Gifts,USA,1976-01-01,2020-03-01,15950,50000000,3,Competition,"Failed to adapt to digital age",Series C,200,"ecommerce,gifts,retail"
Fab.com,E-commerce,Design,USA,2010-01-01,2013-03-01,1150,320000000,5,Management Issues,"Poor unit economics",Series C,500,"ecommerce,design,furniture"
Lookout,Security,Mobile Security,USA,2007-01-01,2021-08-01,5290,250000000,5,Acquisition,"Acquired by VMware",Series D,350,"security,mobile,enterprise"
Talon.One,Marketing,Promotion Engine,USA,2015-01-01,2022-11-01,2870,95000000,5,Cash Flow Problems,"High burn rate",Series C,180,"marketing,SaaS,promotions"
Bridge International Academies,EdTech,Education,USA,2008-01-01,2023-01-01,5475,230000000,5,Market Fit Issues,"Could not scale effectively",Series C,300,"edtech,education,africa"
1stdibs,E-commerce,Luxury,USA,2000-01-01,2021-09-01,7890,100000000,3,Market Fit Issues,"COVID impact on luxury market",Series C,150,"ecommerce,luxury,marketplace"
Centibyte,SaaS,Analytics,USA,2012-01-01,2019-06-01,2700,85000000,5,Cash Flow Problems,"Competition from larger players",Series C,120,"SaaS,analytics,data"
Kinvey,PaaS,Backend Services,USA,2010-01-01,2020-05-01,3750,180000000,6,Acquisition,"Acquired by Progress Software",Series D,250,"PaaS,backend,enterprise"
Savant,Smart Home,Home Automation,USA,2005-01-01,2021-12-01,6150,120000000,4,Market Fit Issues,"Premium positioning limited growth",Series C,200,"smarthome,automation,luxury"
Shazam,Music,Audio Recognition,UK,1999-01-01,2021-06-01,8195,170000000,4,Acquisition,"Acquired by Apple",Series D,400,"music,audio,AI"
SoundCloud,Media,Music Streaming,Germany,2007-01-01,2022-01-01,5475,477000000,7,Cash Flow Problems,"Struggled with profitability",Series F,250,"music,streaming,platform"
Runtastic,Fitness,Fitness Tracking,Austria,2009-01-01,2020-05-01,4060,50000000,2,Acquisition,"Acquired by Adidas",Series B,150,"fitness,tracking,mobile"
Peak,Productivity,Task Management,UK,2014-01-01,2021-09-01,2790,45000000,3,Market Fit Issues,"Subscription fatigue",Series B,80,"productivity,games,gaming"
Swiftkey,Productivity,Keyboard App,UK,2008-01-01,2020-02-01,4380,187000000,5,Acquisition,"Acquired by Microsoft",Series D,300,"productivity,input,AI"
Zenos,FinTech,Banking,UK,2012-01-01,2019-11-01,2860,75000000,4,Cash Flow Problems,"Regulatory challenges",Series B,120,"fintech,banking,UK"
Pivotal,Cloud,Cloud Foundry,USA,2013-01-01,2020-01-01,2555,1300000000,8,Acquisition,"Acquired by VMware",Series E,2800,"cloud,PaaS,enterprise"
Cloudkick,Cloud,Cloud Management,USA,2009-01-01,2013-01-01,1460,20000000,2,Acquisition,"Acquired by Rackspace",Series A,50,"cloud,management,SaaS"
StackMob,Backend,Mobile Backend,USA,2011-01-01,2014-02-01,1095,80000000,3,Acquisition,"Acquired by PayPal",Series B,100,"backend,mobile,PaaS"
Parse,Backend,Mobile Backend,USA,2011-01-01,2017-01-01,2190,55000000,2,Acquisition,"Acquired by Facebook, then shut down",Series A,45,"backend,mobile,Facebook"
Host Graphite,SaaS,Monitoring,Canada,2008-01-01,2015-04-01,2650,15000000,1,Acquisition,"Acquired by Datadog",Series A,30,"monitoring,SaaS,devops"
Circonus,SaaS,Monitoring,USA,2008-01-01,2019-06-01,4170,35000000,3,Acquisition,"Acquired by LogicMonitor",Series B,80,"monitoring,SaaS,metrics"
Vizix,SaaS,Data Visualization,Israel,2012-01-01,2018-09-01,2450,25000000,2,Cash Flow Problems,"Could not compete with Tableau",Series A,60,"visualization,data,BI"
Bime,SaaS,Business Intelligence,France,2009-01-01,2017-05-01,3050,12000000,2,Acquisition,"Acquired by Zendesk",Series A,45,"BI,SaaS,analytics"
Placed,SaaS,Location Analytics,USA,2011-01-01,2019-08-01,3130,45000000,3,Cash Flow Problems,"Privacy concerns affected growth",Series B,120,"analytics,location,adtech"
Pixie,DevOps,Configuration Management,USA,2013-01-01,2020-06-01,2700,30000000,2,Acquisition,"Acquired by Google",Series B,70,"devops,kubernetes,cloud-natives"
Origa,SaaS,API Management,Norway,2012-01-01,2019-12-01,2920,22000000,2,Cash Flow Problems,"Could not scale enterprise sales",Series B,65,"API,management,SaaS"
3scale,API Management,API Platform,Spain,2009-01-01,2016-06-01,2700,50000000,4,Acquisition,"Acquired by Red Hat",Series B,100,"API,management,open-source"
Streamly,Media,Video Streaming,USA,2013-01-01,2018-05-01,1920,35000000,3,Cash Flow Problems,"Content costs too high",Series A,80,"streaming,video,media"
Curiosity,Media,Content Discovery,USA,2012-01-01,2017-04-01,1880,18000000,2,Market Fit Issues,"Advertising model failed",Seed,45,"media,discovery,content"
Perch,Marketplace,Furniture,USA,2015-01-01,2019-12-01,1825,75000000,3,Cash Flow Problems,"Inventory management challenges",Series A,120,"marketplace,furniture,ecommerce"
Cratejoy,E-commerce,Subscription,USA,2012-01-01,2020-03-01,2960,135000000,6,Cash Flow Problems,"Subscription fatigue",Series C,350,"ecommerce,subscription,Saas"
Manpack,Logistics,Last Mile,UK,2014-01-01,2019-08-01,2130,12000000,2,Cash Flow Problems,"High delivery costs",Seed,30,"logistics,delivery,ecommerce"
Zeit,Developer Tools,Cloud Platform,Germany,2012-01-01,2020-10-01,3200,15000000,3,Acquisition,"Acquired by Vercel",Seed,45,"developer-tools,cloud,platform"
Graphcool,Developer Tools,GraphQL Backend,Germany,2015-01-01,2019-05-01,1600,8000000,2,Acquisition,"Acquired by Prisma",Seed,25,"developer-tools,GraphQL,backend"
Bitnami,Developer Tools,Cloud Images,Spain,2003-01-01,2017-09-01,5355,25000000,3,Acquisition,"Acquired by VMware",Series A,60,"developer-tools,cloud,open-source"
Semaphore,Developer Tools,CI/CD,UK,2012-01-01,2021-06-01,3420,10000000,2,Market Fit Issues,"Could not compete with GitHub Actions",Seed,40,"developer-tools,CI/CD,SaaS"